offset along face, aAV
0, 0.5
0.00023094, 0.5
0.00046188, 0.5
0.00069282, 0.5
0.00092376, 0.5
0.0011547, 0.5
0.00138564, 0.5
0.00161658, 0.5
0.00184752, 0.5
0.00207846, 0.5
0.0023094, 0.5
0.00254034, 0.5
0.00277128, 0.5
0.00300222, 0.5
0.00323316, 0.5
0.0034641, 0.5
0.00369504, 0.5
0.00392598, 0.5
0.00415692, 0.5
0.00438786, 0.5
0.0046188, 0.5
0.00484974, 0.5
0.00508068, 0.5
0.00531162, 0.5
0.00554256, 0.5
0.0057735, 0.5
0.00600444, 0.5
0.00623538, 0.5
0.00646632, 0.5
0.00669726, 0.5
0.0069282, 0.5
0.00715914, 0.5
0.00739008, 0.5
0.00762102, 0.5
0.00785196, 0.5
0.0080829, 0.5
0.00831384, 0.5
0.00854478, 0.5
0.00877572, 0.5
0.00900666, 0.5
0.0092376, 0.5
0.00946854, 0.5
0.00969948, 0.5
0.00993042, 0.5
0.0101614, 0.5
0.0103923, 0.5
0.0106232, 0.5
0.0108542, 0.5
0.0110851, 0.5
0.0113161, 0.5
0.011547, 0.5
0.0117779, 0.5
0.0120089, 0.5
0.0122398, 0.5
0.0124708, 0.5
0.0127017, 0.5
0.0129326, 0.5
0.0131636, 0.5
0.0133945, 0.5
0.0136255, 0.5
0.0138564, 0.5
0.0140873, 0.5
0.0143183, 0.5
0.0145492, 0.5
0.0147802, 0.5
0.0150111, 0.5
0.015242, 0.5
0.015473, 0.5
0.0157039, 0.5
0.0159349, 0.5
0.0161658, 0.5
0.0163967, 0.5
0.0166277, 0.5
0.0168586, 0.5
0.0170896, 0.5
0.0173205, 0.5
0.0175514, 0.5
0.0177824, 0.5
0.0180133, 0.5
0.0182443, 0.5
0.0184752, 0.5
0.0187061, 0.5
0.0189371, 0.5
0.019168, 0.5
0.019399, 0.5
0.0196299, 0.5
0.0198608, 0.5
0.0200918, 0.5
0.0203227, 0.5
0.0205537, 0.5
0.0207846, 0.5
0.0210155, 0.5
0.0212465, 0.5
0.0214774, 0.5
0.0217084, 0.5
0.0219393, 0.5
0.0221703, 0.5
0.0224012, 0.5
0.0226321, 0.5
0.0228631, 0.5
0.023094, 0.5
0.023325, 0.5
0.0235559, 0.5
0.0237868, 0.5
0.0240178, 0.5
0.0242487, 0.5
0.0244797, 0.5
0.0247106, 0.5
0.0249415, 0.5
0.0251725, 0.5
0.0254034, 0.5
0.0256344, 0.5
0.0258653, 0.5
0.0260962, 0.5
0.0263272, 0.5
0.0265581, 0.5
0.0267891, 0.5
0.02702, 0.5
0.0272509, 0.5
0.0274819, 0.5
0.0277128, 0.5
0.0279438, 0.5
0.0281747, 0.5
0.0284056, 0.5
0.0286366, 0.5
0.0288675, 0.5
0.0290985, 0.5
0.0293294, 0.5
0.0295603, 0.5
0.0297913, 0.5
0.0300222, 0.5
0.0302532, 0.5
0.0304841, 0.5
0.030715, 0.5
0.030946, 0.5
0.0311769, 0.5
0.0314079, 0.5
0.0316388, 0.5
0.0318697, 0.5
0.0321007, 0.5
0.0323316, 0.5
0.0325626, 0.5
0.0327935, 0.5
0.0330244, 0.5
0.0332554, 0.5
0.0334863, 0.5
0.0337173, 0.5
0.0339482, 0.5
0.0341791, 0.5
0.0344101, 0.5
0.034641, 0.5
0.034872, 0.5
0.0351029, 0.5
0.0353338, 0.5
0.0355648, 0.5
0.0357957, 0.5
0.0360267, 0.5
0.0362576, 0.5
0.0364885, 0.5
0.0367195, 0.5
0.0369504, 0.5
0.0371814, 0.5
0.0374123, 0.5
0.0376432, 0.5
0.0378742, 0.5
